ranking,name,profile,position,age,nationality,flag,club,club_logo,market_value
86,Theo Hernández,https://img.a.transfermarkt.technology/portrait/small/339808-1595938750.jpg?lm=1,Left-Back,23,France,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,AC Milan,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,€50.00m
87,Diego Carlos,https://img.a.transfermarkt.technology/portrait/small/329145-1568022060.jpg?lm=1,Centre-Back,28,Brazil,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Sevilla FC,https://tmssl.akamaized.net/images/wappen/verysmall/368.png?lm=1408655455,€50.00m
88,Ben Chilwell,https://img.a.transfermarkt.technology/portrait/small/316125-1469615445.jpg?lm=1,Left-Back,24,England,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1444558831,€50.00m
89,Christian Pulisic,https://img.a.transfermarkt.technology/portrait/small/315779-1534236289.jpg?lm=1,Right Winger,22,United States,https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1444558831,€50.00m
90,Franck Kessié,https://img.a.transfermarkt.technology/portrait/small/294808-1594276547.jpg?lm=1,Central Midfield,24,Cote d'Ivoire,https://tmssl.akamaized.net/images/flagge/verysmall/38.png?lm=1520611569,AC Milan,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,€50.00m
91,Ferland Mendy,https://img.a.transfermarkt.technology/portrait/small/291417-1479731632.jpg?lm=1,Left-Back,25,France,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,Real Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,€50.00m
92,Ousmane Dembélé,https://img.a.transfermarkt.technology/portrait/small/288230-1561038993.jpg?lm=1,Right Winger,23,France,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,€50.00m
93,Wilfred Ndidi,https://img.a.transfermarkt.technology/portrait/small/274839-1601316687.jpg?lm=1,Defensive Midfield,24,Nigeria,https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569,Leicester City,https://tmssl.akamaized.net/images/wappen/verysmall/1003.png?lm=1472229265,€50.00m
94,Rúben Neves,https://img.a.transfermarkt.technology/portrait/small/225161-1445515680.jpg?lm=1,Defensive Midfield,24,Portugal,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Wolverhampton Wanderers,https://tmssl.akamaized.net/images/wappen/verysmall/543.png?lm=1467496784,€50.00m
95,Anthony Martial,https://img.a.transfermarkt.technology/portrait/small/182877-1595947846.jpg?lm=1,Centre-Forward,25,France,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,Manchester United,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,€50.00m
96,João Cancelo,https://img.a.transfermarkt.technology/portrait/small/182712-1615221629.jpg?lm=1,Right-Back,26,Portugal,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,€50.00m
97,Aymeric Laporte,https://img.a.transfermarkt.technology/portrait/small/176553-1564994239.jpg?lm=1,Centre-Back,26,France,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,€50.00m
98,Álvaro Morata,https://img.a.transfermarkt.technology/portrait/small/128223-1523366908.jpg?lm=1,Centre-Forward,28,Spain,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Juventus FC,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,€50.00m
99,Luis Alberto,https://img.a.transfermarkt.technology/portrait/small/128220-1594715012.jpg?lm=1,Attacking Midfield,28,Spain,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,SS Lazio,https://tmssl.akamaized.net/images/wappen/verysmall/398.png?lm=1601537785,€50.00m
100,Kalidou Koulibaly,https://img.a.transfermarkt.technology/portrait/small/93128-1448528991.jpg?lm=1,Centre-Back,29,Senegal,https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569,SSC Napoli,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,€50.00m
